lead_id,email,company,source,status,geo_id,created_at,updated_at
L000053,zthomas@example.org,Jordan-Martinez,Referral,New,GEO0787,2025-10-28T21:12:17,2026-02-27T01:28:32
L000054,vanessaparker@example.org,Long-Watts,Referral,Nurture,GEO0041,2024-03-05T13:43:48,2025-04-15T07:11:59
L000055,yateseric@example.net,"Carroll, Reid and Carter",Partner,Nurture,GEO0695,2025-05-18T06:56:59,2025-09-30T16:30:20
L000056,michele01@example.net,"Montgomery, Boyd and Phelps",Event,Working,GEO0262,2025-01-08T21:21:56,2025-11-20T15:34:49
L000057,xcoleman@example.net,Campos Ltd,Partner,Disqualified,GEO0142,2025-04-03T13:15:10,2025-08-01T16:53:27
L000058,dcole@example.net,"Perry, Ortiz and Quinn",Referral,Nurture,GEO0122,2025-03-12T18:29:42,2025-07-23T20:09:09
L000059,bauermindy@example.org,"Peterson, Padilla and Bender",Web,Nurture,GEO0548,2024-10-14T23:28:22,2025-01-28T23:55:47
L000060,walkerbrittany@example.org,Burgess-Lewis,Outbound,Qualified,GEO0780,2025-09-03T14:23:14,2025-12-17T04:54:07
L000061,alvarezbrian@example.net,"Boyd, Long and Larson",Referral,New,GEO0596,2026-02-08T15:14:47,2026-02-18T17:47:04
L000062,pamelaacosta@example.net,House LLC,Inbound SDR,Qualified,GEO0253,2024-03-02T18:03:09,2024-12-27T15:55:23
L000063,bradleyabbott@example.com,Hale-Sanchez,Inbound SDR,Qualified,GEO0680,2025-02-22T00:58:44,2025-10-20T21:30:02
L000064,travis74@example.org,Farrell-Campos,Event,New,GEO0138,2024-07-08T15:58:52,2025-03-30T11:54:20
L000065,ogolden@example.org,Frazier-Mahoney,Inbound SDR,New,GEO0719,2024-02-05T08:47:35,2025-11-15T04:13:51
L000066,salazarchristopher@example.net,Esparza PLC,Partner,Qualified,GEO0426,2024-10-08T18:14:07,2025-07-08T08:21:42
L000067,torresmaria@example.com,Saunders Group,Event,Qualified,GEO0180,2025-12-12T09:12:05,2026-02-07T01:27:31
L000068,walter15@example.com,"Ellis, Brown and Cruz",Outbound,Working,GEO0453,2025-07-23T15:54:59,2025-11-08T00:43:25
L000069,georgekeith@example.net,Curry Ltd,Partner,Qualified,GEO0260,2025-08-08T23:47:29,2026-01-02T19:46:48
L000070,marshalltiffany@example.net,Duncan Group,Outbound,Disqualified,GEO0096,2024-05-08T07:45:03,2025-11-06T05:20:49
L000071,psmith@example.org,"Rose, Fletcher and Rose",Web,Disqualified,GEO0048,2024-08-14T00:22:17,2025-03-28T02:24:52
L000072,dhart@example.org,Moreno PLC,Inbound SDR,Qualified,GEO0294,2025-10-27T00:17:03,2025-11-29T18:09:10
L000073,nromero@example.net,"Oliver, Miller and Faulkner",Web,Nurture,GEO0637,2024-06-17T21:50:54,2025-09-06T13:45:26
L000074,vhernandez@example.org,"Newton, Rodriguez and Stafford",Event,Qualified,GEO0255,2024-01-21T01:24:16,2025-02-16T05:29:33
L000075,leecaitlin@example.net,Wagner Inc,Outbound,Qualified,GEO0321,2025-07-21T06:33:00,2025-07-22T06:12:06
L000076,johnsonjason@example.net,Foley-Davenport,Event,Qualified,GEO0385,2024-07-16T16:44:29,2025-12-14T01:29:28
L000077,jeffrey34@example.com,"Watson, Russell and Moreno",Outbound,Qualified,GEO0458,2025-01-31T21:22:34,2025-06-03T03:13:43
L000078,gregorybishop@example.net,Shelton-Sharp,Referral,New,GEO0209,2025-11-30T18:31:32,2026-01-15T10:09:36
L000079,woodmarc@example.net,"Gardner, Jones and Jones",Partner,Nurture,GEO0055,2025-03-13T21:39:41,2025-07-02T18:35:32
L000080,gilbertchristopher@example.com,"Hutchinson, Ramsey and Gardner",Web,Qualified,GEO0679,2025-12-05T22:07:13,2026-02-18T11:20:17
L000081,baldwineric@example.org,Brandt-Garcia,Web,Nurture,GEO0344,2024-08-23T10:17:56,2024-11-11T12:52:42
L000082,andreaphillips@example.org,Bowers Inc,Event,Nurture,GEO0587,2024-07-08T22:35:03,2025-12-14T02:48:31
L000083,lisa40@example.net,Gonzalez LLC,Outbound,Disqualified,GEO0614,2025-12-17T19:31:30,2026-01-05T17:34:29
L000084,dfranco@example.org,Williams-Edwards,Outbound,Working,GEO0072,2026-02-24T00:23:06,2026-02-24T00:43:12
L000085,olivernancy@example.net,Griffin-Miller,Event,Working,GEO0689,2024-12-28T17:15:39,2025-11-07T10:08:20
L000086,arichards@example.net,Brown Group,Web,New,GEO0341,2025-05-28T00:58:52,2026-01-04T06:05:33
L000087,zhenderson@example.org,"Chambers, Quinn and Thomas",Partner,New,GEO0448,2024-02-12T17:46:40,2025-03-31T07:12:46
L000088,xgregory@example.org,Greene-Fischer,Outbound,Qualified,GEO0484,2024-03-20T11:39:14,2025-06-26T06:51:57
L000089,awilliamson@example.net,Foster Ltd,Web,New,GEO0234,2024-11-21T01:57:13,2025-08-13T01:00:25
L000090,fletchercassandra@example.net,Parker Group,Event,Disqualified,GEO0280,2024-04-07T16:48:43,2025-08-05T06:00:07
L000091,angela30@example.org,Peterson Inc,Event,Working,GEO0794,2025-09-08T21:17:55,2025-10-09T17:39:10
L000092,scottlong@example.org,Serrano LLC,Partner,Nurture,GEO0458,2024-09-01T05:09:11,2025-07-01T14:05:22
L000093,bruce84@example.net,Strickland-Miller,Inbound SDR,Nurture,GEO0310,2025-11-01T03:20:05,2025-12-14T20:10:32
L000094,nblack@example.com,Waters Group,Partner,Nurture,GEO0367,2025-01-04T18:22:39,2025-09-28T14:46:05
L000095,ryanflowers@example.org,Dominguez Inc,Outbound,Disqualified,GEO0141,2024-04-01T20:38:51,2024-05-02T04:07:14
L000096,josephcindy@example.com,"Marshall, Bates and Wright",Partner,Qualified,GEO0205,2025-06-18T12:51:58,2025-07-23T20:56:41
L000097,martinmegan@example.org,Massey Inc,Referral,Disqualified,GEO0765,2024-04-15T18:19:46,2026-01-13T15:49:20
L000098,sgonzalez@example.net,Miller LLC,Inbound SDR,Qualified,GEO0171,2024-05-28T03:09:37,2024-06-05T08:10:18
L000099,taylorsteven@example.org,Holland-Flynn,Referral,Disqualified,GEO0529,2024-01-18T15:18:24,2024-05-04T19:33:07
L000100,lmaynard@example.com,Gates LLC,Event,Nurture,GEO0460,2025-03-10T07:13:40,2025-11-07T06:01:38
L000101,kimberly61@example.net,Levy and Sons,Partner,New,GEO0553,2024-02-21T01:25:11,2025-11-15T19:46:51
L000102,anna82@example.com,Evans and Sons,Partner,Working,GEO0398,2024-03-26T01:16:06,2024-04-08T20:57:17
L000103,aliciaholloway@example.net,West-Friedman,Referral,Qualified,GEO0081,2024-02-24T06:07:17,2025-06-15T12:31:12
L000104,dorothyclark@example.org,Johnston Group,Inbound SDR,New,GEO0507,2024-01-21T19:06:25,2024-11-13T12:04:55
L000105,caseyzoe@example.com,Thomas PLC,Event,New,GEO0399,2025-09-23T17:44:22,2025-11-16T01:33:39
L000106,sherri52@example.com,Palmer-Griffin,Event,Qualified,GEO0683,2025-03-04T12:15:04,2025-12-23T09:21:49
L000107,foxbilly@example.net,Bell Group,Inbound SDR,Working,GEO0117,2024-06-08T13:08:06,2026-02-20T00:12:26
L000108,lauragordon@example.net,"Dunn, Williams and Reed",Event,Qualified,GEO0313,2024-03-17T08:14:32,2025-01-14T08:07:41
L000109,allensarah@example.net,Chaney and Sons,Referral,Qualified,GEO0338,2024-05-12T05:41:49,2025-07-14T05:14:30
L000110,thompsonchristopher@example.com,Rodriguez Group,Referral,Qualified,GEO0375,2025-10-03T08:20:36,2026-01-10T05:53:59
L000111,sara80@example.org,Boyd-Jones,Event,Working,GEO0559,2025-03-19T20:45:56,2025-07-03T10:50:08
L000112,ballardronald@example.org,"Brown, Gates and Hardin",Outbound,Working,GEO0113,2025-12-20T22:29:16,2026-02-25T01:31:27
L000113,duanerodriguez@example.org,Ryan-Barron,Web,Qualified,GEO0254,2025-02-09T18:48:26,2025-07-22T09:22:45
L000114,kristi72@example.org,"Murray, Collins and Boyer",Referral,Disqualified,GEO0578,2026-01-19T20:56:40,2026-02-08T08:18:36
L000115,william36@example.net,"Smith, Anderson and Rogers",Outbound,New,GEO0612,2024-12-11T13:19:10,2025-05-12T18:15:11
L000116,hartjay@example.net,"Mcdonald, Keller and Chan",Partner,Working,GEO0169,2025-05-06T08:34:57,2026-02-09T15:26:04
L000117,theodoreadams@example.org,Cobb-Stewart,Inbound SDR,New,GEO0397,2024-01-07T10:39:16,2025-07-10T04:56:59
L000118,mjohnson@example.com,Huffman Inc,Outbound,New,GEO0689,2025-04-29T19:02:56,2026-02-06T14:41:07
L000119,richard05@example.net,"Watkins, Martin and Wilson",Inbound SDR,New,GEO0290,2024-08-05T19:29:09,2026-01-09T11:32:59
L000120,nunezmaria@example.net,Manning-Gutierrez,Web,Working,GEO0376,2024-02-25T16:10:03,2026-02-03T21:42:25
L000121,warnerjustin@example.com,Phillips LLC,Web,Qualified,GEO0253,2024-10-26T04:33:57,2025-07-18T21:40:12
L000122,millerlisa@example.com,"Garcia, Morrison and Chase",Event,Disqualified,GEO0560,2025-02-22T15:34:26,2025-03-13T23:05:22
L000123,shawn54@example.net,"Cox, Robinson and Wood",Web,Disqualified,GEO0741,2026-02-11T08:15:39,2026-02-17T19:49:57
L000124,zmartinez@example.com,Smith-Weiss,Inbound SDR,Disqualified,GEO0301,2025-06-29T02:41:32,2025-10-17T18:26:30
L000125,juangarcia@example.net,Day-Miller,Event,New,GEO0758,2024-12-07T09:26:17,2025-10-26T22:13:45
L000126,alex99@example.org,Williamson Ltd,Outbound,Qualified,GEO0282,2024-02-22T05:03:29,2025-12-31T16:03:58
L000127,keithross@example.net,Moore-Ball,Partner,Working,GEO0474,2026-02-19T05:44:29,2026-02-22T18:34:02
L000128,angela54@example.com,"Jacobs, Stewart and Lopez",Partner,Disqualified,GEO0009,2025-08-15T23:32:48,2026-02-02T18:21:14
L000129,kevinmanning@example.com,"Smith, Moore and Sutton",Event,Qualified,GEO0002,2025-05-05T14:45:58,2025-11-20T19:13:01
L000130,franklindenise@example.org,"Hardin, Sutton and Rowe",Web,Nurture,GEO0611,2024-10-22T01:45:23,2025-07-23T22:13:31
L000131,ambergray@example.net,"Taylor, Hunt and Hanson",Partner,Nurture,GEO0662,2025-07-17T16:27:02,2025-08-01T11:55:58
L000132,blake20@example.net,"Torres, Atkins and Yates",Event,Working,GEO0713,2024-11-02T02:33:32,2025-06-12T20:33:39
L000133,smithedward@example.org,"Mahoney, Farley and Rodriguez",Event,Nurture,GEO0265,2024-02-21T00:31:30,2025-07-27T17:16:14
L000134,brentrodriguez@example.org,Taylor and Sons,Event,Disqualified,GEO0745,2025-08-17T20:48:42,2025-08-22T23:48:38
L000135,carlatran@example.net,Vargas-Simmons,Web,Disqualified,GEO0663,2024-04-13T09:39:46,2025-10-06T21:13:21
L000136,rolson@example.net,"Martinez, Kelly and Allen",Outbound,Working,GEO0069,2024-02-15T11:09:56,2025-08-10T15:36:58
L000137,whitepaula@example.org,"Smith, Lee and Gaines",Partner,Nurture,GEO0064,2024-02-06T14:14:00,2025-12-22T22:28:47
L000138,ujohnson@example.com,"Brown, Blake and Gutierrez",Partner,Qualified,GEO0588,2025-03-28T03:03:34,2026-01-03T03:15:02
L000139,holly44@example.net,"Shepherd, Mullins and Green",Event,Qualified,GEO0439,2025-01-15T08:06:01,2025-01-19T06:06:26
L000140,deborahbaldwin@example.org,Ramos-Gilbert,Outbound,Disqualified,GEO0132,2025-08-22T04:04:59,2026-02-24T23:13:36
L000141,beanjason@example.org,Jackson Ltd,Partner,Working,GEO0281,2024-06-29T03:25:23,2024-09-23T08:08:40
L000142,grimesclifford@example.net,Garcia-Scott,Referral,Working,GEO0647,2024-09-14T19:17:58,2025-02-24T20:39:09
L000143,joshua64@example.com,Schmidt PLC,Web,Nurture,GEO0462,2025-06-19T13:18:21,2025-10-02T07:34:19
L000144,donaldparker@example.org,Chandler-Rojas,Event,Working,GEO0570,2025-01-03T14:46:38,2026-01-27T19:58:40
L000145,sduncan@example.net,"Morgan, Snyder and May",Web,Nurture,GEO0331,2026-02-17T19:29:12,2026-02-22T14:06:34
L000146,william54@example.org,Sanchez-Dixon,Partner,Working,GEO0776,2025-07-10T11:13:15,2026-02-04T04:12:48
L000147,rebeccaramos@example.com,Gallagher Group,Event,Disqualified,GEO0350,2024-04-14T03:10:06,2025-03-17T08:51:51
L000148,curtislopez@example.net,Fleming Inc,Outbound,Disqualified,GEO0399,2025-10-12T17:42:38,2026-02-13T01:33:28
L000149,samantha67@example.net,"Vang, Saunders and Howe",Outbound,Qualified,GEO0644,2024-11-14T08:03:54,2025-09-27T00:43:24
L000150,schroederlisa@example.net,"Fletcher, Brown and Rhodes",Referral,Nurture,GEO0263,2024-04-21T10:53:49,2025-05-14T21:40:15
L000151,sarahsuarez@example.net,Olson Ltd,Partner,New,GEO0045,2024-03-06T04:15:11,2025-12-20T02:07:07
L000152,parsonsjacqueline@example.net,Franco Inc,Partner,New,GEO0570,2024-12-07T05:49:57,2025-05-07T21:41:55
L000153,ljohnson@example.net,Campbell-Morris,Inbound SDR,Qualified,GEO0319,2025-06-06T02:40:06,2025-11-05T02:26:13
L000154,ejones@example.org,Wilson-Lopez,Event,Nurture,GEO0388,2025-01-02T15:32:33,2025-05-21T02:18:22
L000155,grahamrachel@example.net,Poole PLC,Event,Qualified,GEO0005,2026-02-25T15:15:22,2026-02-27T17:58:29
L000156,jason10@example.com,Johnson-Krause,Outbound,Nurture,GEO0414,2025-06-25T12:30:49,2025-07-14T12:51:51
L000157,acastillo@example.org,Mann-Howell,Event,Nurture,GEO0661,2024-08-18T15:29:36,2025-11-18T07:12:05
L000158,thomasgarcia@example.com,Mckay and Sons,Partner,New,GEO0109,2026-02-26T14:56:22,2026-03-01T11:15:03
L000159,uryan@example.net,"Snyder, Cannon and Jones",Event,Nurture,GEO0538,2025-10-27T06:29:53,2025-11-02T15:17:58
L000160,jill89@example.com,Ortiz Ltd,Web,Qualified,GEO0353,2025-11-18T06:04:16,2025-12-15T18:26:36
L000161,esalinas@example.net,Watson-Bates,Web,Qualified,GEO0343,2024-06-03T18:42:08,2025-11-23T05:57:43
L000162,tellis@example.com,"Gonzales, Keller and Smith",Inbound SDR,Qualified,GEO0075,2025-11-07T19:56:47,2025-12-06T01:28:42
L000163,sandra11@example.com,"Curry, James and Kemp",Event,New,GEO0637,2025-01-14T14:21:29,2026-01-19T01:49:36
L000164,pruittjared@example.org,"Krause, Stewart and Saunders",Event,Qualified,GEO0749,2025-10-16T21:51:53,2025-11-16T08:54:07
L000165,rogercameron@example.net,"Jenkins, Raymond and Kramer",Event,Nurture,GEO0025,2025-05-22T00:06:43,2025-07-11T21:21:38
L000166,bjenkins@example.net,"Cabrera, Williams and Mcdonald",Referral,Disqualified,GEO0136,2024-12-31T02:55:35,2025-07-09T15:57:48
L000167,wesleypennington@example.com,Green and Sons,Partner,New,GEO0043,2025-12-11T23:28:20,2025-12-22T12:17:16
L000168,tlawrence@example.net,Nelson-Williams,Event,Disqualified,GEO0396,2025-04-02T17:36:19,2025-08-10T06:39:29
L000169,jwilliams@example.org,Davis-Allen,Referral,Qualified,GEO0302,2026-02-13T02:47:49,2026-02-13T16:36:53
L000170,jonesmichael@example.net,Brown-Ryan,Event,Qualified,GEO0230,2025-12-14T17:49:22,2026-01-22T05:02:32
L000171,galvandominique@example.net,Salazar-Smith,Inbound SDR,Nurture,GEO0462,2026-01-11T23:55:35,2026-02-23T03:14:59
L000172,karengay@example.com,Sutton Ltd,Web,Nurture,GEO0300,2025-08-09T19:00:17,2025-12-12T14:07:32
L000173,samantha20@example.org,Whitney and Sons,Referral,Qualified,GEO0758,2025-03-19T00:33:22,2026-02-03T12:11:24
L000174,jamesmack@example.org,"Bailey, Williams and Brooks",Partner,Working,GEO0010,2024-07-02T20:11:17,2024-09-28T11:05:15
L000175,halljames@example.net,Oconnell-King,Web,New,GEO0704,2024-10-17T14:17:38,2025-09-23T21:29:06
L000176,courtneyarnold@example.org,Larson Ltd,Event,Qualified,GEO0466,2024-07-28T02:08:20,2025-04-29T03:33:37
L000177,traci73@example.com,Morris LLC,Partner,New,GEO0721,2024-12-15T03:43:45,2025-07-07T08:35:30
L000178,ywilliams@example.com,West Group,Referral,Qualified,GEO0294,2025-12-09T19:30:40,2026-02-18T12:20:06
L000179,fadams@example.org,Clark-Simon,Referral,Disqualified,GEO0186,2025-04-06T17:41:22,2025-06-16T11:09:43
L000180,jmay@example.org,Rose-Phillips,Inbound SDR,Nurture,GEO0792,2025-04-16T14:00:17,2025-10-27T10:28:05
L000181,rpeterson@example.com,Carlson-Huff,Referral,Qualified,GEO0029,2025-10-13T20:28:29,2025-10-30T11:51:29
L000182,edwardswilliam@example.org,Davidson-Ruiz,Inbound SDR,Disqualified,GEO0789,2026-02-18T14:11:36,2026-02-28T07:00:25
L000183,richardhamilton@example.org,"Santana, Jones and Copeland",Partner,Disqualified,GEO0332,2024-01-05T22:35:49,2024-03-28T19:11:01
L000184,loridavis@example.org,"Rogers, Thompson and Spencer",Partner,Working,GEO0159,2025-09-03T05:37:27,2025-10-26T11:20:48
L000185,paigefitzgerald@example.org,Ferguson PLC,Referral,Working,GEO0486,2025-12-20T10:32:31,2026-02-28T16:59:31
L000186,oholloway@example.com,Wilson-Simmons,Referral,Working,GEO0328,2024-01-16T02:09:56,2025-10-25T08:51:16
L000187,hortontina@example.com,Davis-Valdez,Web,Nurture,GEO0785,2025-02-26T23:27:49,2025-04-23T21:24:24
L000188,zacharycantu@example.org,Perry PLC,Event,Nurture,GEO0655,2025-09-26T18:19:32,2025-11-18T23:01:30
L000189,nicholasmorgan@example.net,Velasquez Ltd,Referral,New,GEO0529,2024-10-08T18:37:53,2024-12-07T22:18:43
L000190,vmathis@example.org,Bowen LLC,Inbound SDR,Nurture,GEO0099,2024-12-28T04:09:32,2025-10-22T15:16:13
L000191,pamelathomas@example.net,Maldonado-Jones,Outbound,Nurture,GEO0748,2026-01-27T12:58:09,2026-02-23T03:04:57
L000192,lauriemason@example.org,Shaw-Ray,Web,Qualified,GEO0494,2026-02-16T23:15:39,2026-02-22T01:58:35
L000193,austinmartha@example.com,Rice and Sons,Partner,Disqualified,GEO0039,2024-07-17T04:04:27,2025-09-28T23:09:45
L000194,reidamanda@example.com,Barnes-Ho,Inbound SDR,Working,GEO0295,2026-01-10T08:04:58,2026-02-03T11:25:58
L000195,michael80@example.net,"Simmons, Sellers and Alexander",Partner,Working,GEO0060,2025-05-01T21:43:27,2026-02-08T22:00:20
L000196,haastina@example.com,Jones-Lopez,Web,New,GEO0004,2025-03-22T12:10:07,2025-11-12T21:57:21
L000197,fishermichael@example.com,"Garcia, Sullivan and Brewer",Outbound,Working,GEO0025,2025-03-04T19:09:13,2025-06-26T17:14:46
L000198,melissapacheco@example.net,"Underwood, Reyes and Nelson",Web,Working,GEO0710,2026-02-21T04:19:54,2026-02-27T23:30:24
L000199,higginsdavid@example.net,"Stewart, Miranda and Cabrera",Inbound SDR,Qualified,GEO0572,2025-05-25T06:52:28,2026-02-24T17:37:01
L000200,greenbenjamin@example.net,"King, Foster and Russo",Event,Disqualified,GEO0183,2024-01-03T22:41:13,2025-06-11T08:35:23
L000201,reginaldhuang@example.com,Gomez Inc,Inbound SDR,Nurture,GEO0009,2024-04-30T19:24:38,2025-11-15T03:13:54
L000202,everettjose@example.org,Weaver LLC,Inbound SDR,Working,GEO0166,2024-05-14T02:10:18,2025-12-17T11:17:12
L000203,jeffrey00@example.org,Lynch-Phillips,Partner,Working,GEO0171,2025-11-19T18:01:12,2025-12-08T10:13:26
L000204,kelly76@example.net,Owens and Sons,Event,Nurture,GEO0792,2024-04-20T07:53:33,2024-04-28T11:04:57
L000205,anne18@example.com,Summers-Benson,Partner,Disqualified,GEO0490,2024-11-25T10:49:42,2025-12-06T05:28:30
L000206,thernandez@example.com,Thomas Inc,Event,Working,GEO0462,2025-06-12T01:53:18,2026-01-07T13:22:03
L000207,tracymccormick@example.org,"Petersen, Warner and Medina",Inbound SDR,Qualified,GEO0569,2024-10-20T23:15:32,2025-01-17T22:33:11
L000208,lisayoung@example.org,Cox-Hanna,Outbound,Working,GEO0783,2024-08-23T13:34:02,2025-09-14T12:12:44
L000209,ewise@example.org,Cooper-Mccarthy,Referral,Nurture,GEO0352,2024-03-25T20:31:06,2025-06-22T14:26:29
L000210,wolfeeric@example.org,Oliver-Garcia,Outbound,Qualified,GEO0094,2024-10-21T05:51:44,2025-11-11T01:56:12
L000211,qbryant@example.org,Miller and Sons,Inbound SDR,Qualified,GEO0324,2024-12-10T12:03:36,2025-04-24T08:56:24
L000212,arnoldkimberly@example.com,"Jones, White and Garza",Partner,Qualified,GEO0403,2025-09-18T18:23:51,2025-12-16T01:03:16
